date,steps,distance_miles,journey_id,character,segment,cumulative_miles,cumulative_steps,all_time_cumulative_miles,all_time_cumulative_steps
2024-03-27,16822,7.1574411577786945,Mordor,Frodo,The Shire,7.1574411577786945,16822.0,7.1574411577786945,16822
2024-03-28,9295,3.936331978839767,Mordor,Frodo,The Shire,11.093773136618461,26117.0,11.093773136618461,26117
2024-03-29,18741,7.7227360086588215,Mordor,Frodo,The Shire,18.816509145277283,44858.0,18.816509145277283,44858
2024-03-30,18257,6.884298472063009,Mordor,Frodo,The Shire,25.700807617340292,63115.0,25.700807617340292,63115
2024-03-31,13554,4.643141924363995,Mordor,Frodo,The Shire,30.343949541704287,76669.0,30.343949541704287,76669
2024-04-01,9656,3.740249090584414,Mordor,Frodo,The Shire,34.084198632288704,86325.0,34.084198632288704,86325
2024-04-02,2493,0.9770087370445212,Mordor,Frodo,The Shire,35.061207369333225,88818.0,35.061207369333225,88818
2024-04-03,1641,0.5499872109777799,Mordor,Frodo,The Shire,35.611194580311,90459.0,35.61119458031101,90459
2024-04-04,1021,0.2527196418214681,Mordor,Frodo,The Shire,35.86391422213247,91480.0,35.86391422213248,91480
2024-04-05,12499,5.101605949822892,Mordor,Frodo,The Shire,40.96552017195536,103979.0,40.96552017195537,103979
2024-04-06,1691,0.41100148120147434,Mordor,Frodo,The Shire,41.376521653156836,105670.0,41.37652165315684,105670
2024-04-07,13087,5.3067353971677464,Mordor,Frodo,The Shire,46.683257050324585,118757.0,46.68325705032459,118757
2024-04-08,13482,5.380354553630324,Mordor,Frodo,The Shire,52.06361160395491,132239.0,52.06361160395492,132239
2024-04-09,11725,4.841264900873129,Mordor,Frodo,The Shire,56.90487650482804,143964.0,56.904876504828046,143964
2024-04-10,1119,0.3373853507658394,Mordor,Frodo,The Shire,57.242261855593874,145083.0,57.24226185559389,145083
2024-04-11,5860,2.166335321006096,Mordor,Frodo,The Shire,59.40859717659997,150943.0,59.40859717659998,150943
2024-04-12,15036,5.854267228577756,Mordor,Frodo,The Shire,65.26286440517772,165979.0,65.26286440517774,165979
2024-04-13,10960,3.173516184779696,Mordor,Frodo,The Shire,68.43638058995742,176939.0,68.43638058995744,176939
2024-04-14,16384,5.739601648413154,Mordor,Frodo,The Shire,74.17598223837058,193323.0,74.1759822383706,193323
2024-04-15,22863,9.225404516709387,Mordor,Frodo,The Shire,83.40138675507997,216186.0,83.40138675507998,216186
2024-04-16,15199,5.461338283869567,Mordor,Frodo,The Shire,88.86272503894953,231385.0,88.86272503894955,231385
2024-04-17,9737,3.6822769146129137,Mordor,Frodo,The Shire,92.54500195356245,241122.0,92.54500195356246,241122
2024-04-18,14513,5.745268136858491,Mordor,Frodo,The Shire,98.29027009042093,255635.0,98.29027009042095,255635
2024-04-19,9617,3.983654578087924,Mordor,Frodo,The Shire,102.27392466850887,265252.0,102.27392466850887,265252
2024-04-20,14721,5.055618766999369,Mordor,Frodo,The Shire,107.32954343550823,279973.0,107.32954343550824,279973
2024-04-21,19288,7.048313348034215,Mordor,Frodo,The Shire,114.37785678354244,299261.0,114.37785678354246,299261
2024-04-22,20937,8.64728020237127,Mordor,Frodo,The Shire,123.02513698591372,320198.0,123.02513698591372,320198
2024-04-23,6817,2.521623325251784,Mordor,Frodo,The Shire,125.5467603111655,327015.0,125.5467603111655,327015
2024-04-24,20418,8.478135402954393,Mordor,Frodo,The Shire,134.0248957141199,347433.0,134.0248957141199,347433
2024-04-25,13190,5.3916197737729945,Mordor,Frodo,The Shire,139.4165154878929,360623.0,139.4165154878929,360623
2024-04-26,3124,1.2109115223681801,Mordor,Frodo,The Shire,140.62742701026107,363747.0,140.62742701026107,363747
2024-04-27,11869,4.112078723293371,Mordor,Frodo,The Shire,144.73950573355444,375616.0,144.73950573355444,375616
2024-04-28,13084,4.4575029875242835,Mordor,Frodo,The Shire,149.19700872107873,388700.0,149.19700872107873,388700
2024-04-29,30840,11.927256593543083,Mordor,Frodo,The Fellowship,161.1242653146218,419540.0,161.12426531462182,419540
2024-04-30,2142,0.6724695189074024,Mordor,Frodo,The Fellowship,161.7967348335292,421682.0,161.79673483352923,421682
2024-05-01,18761,7.683747478301323,Mordor,Frodo,The Fellowship,169.48048231183054,440443.0,169.48048231183054,440443
2024-05-02,11790,4.816126438272278,Mordor,Frodo,The Fellowship,174.29660875010282,452233.0,174.29660875010282,452233
2024-05-03,19812,8.131658783888959,Mordor,Frodo,The Fellowship,182.42826753399177,472045.0,182.42826753399177,472045
2024-05-04,21535,8.016322547231654,Mordor,Frodo,The Fellowship,190.44459008122342,493580.0,190.44459008122342,493580
2024-05-05,19776,7.543103165649813,Mordor,Frodo,The Fellowship,197.98769324687325,513356.0,197.98769324687325,513356
2024-05-06,14099,5.800083785361445,Mordor,Frodo,The Fellowship,203.7877770322347,527455.0,203.7877770322347,527455
2024-05-07,6925,2.5509774002972363,Mordor,Frodo,The Fellowship,206.3387544325319,534380.0,206.3387544325319,534380
2024-05-08,13281,5.045319494554204,Mordor,Frodo,The Fellowship,211.38407392708612,547661.0,211.38407392708612,547661
2024-05-09,9710,3.8840732315195425,Mordor,Frodo,The Fellowship,215.26814715860567,557371.0,215.26814715860567,557371
