date,journey_id,character,segment,distance_miles,cumulative_miles,all_time_cumulative_miles
2025-10-18,,,,2.9283,,3676.4093
2025-10-19,,,,6.0218,,3682.4311
2025-10-20,,,,17.4147,,3699.8459
2025-10-21,,,,8.5234,,3708.3692
2025-10-22,,,,6.4079,,3714.7771
2025-10-23,,,,9.9614,,3724.7386
2025-10-24,,,,4.7060,,3729.4445
2025-10-25,,,,4.1234,,3733.5679
2025-10-26,,,,6.8269,,3740.3948
2025-10-27,,,,4.0337,,3744.4285
2025-10-28,,,,4.5232,,3748.9517
2025-10-29,,,,3.2884,,3752.2401
2025-10-30,,,,4.7990,,3757.0391
2025-10-31,,,,6.7429,,3763.7820
2025-11-01,,,,7.4754,,3771.2574
2025-11-02,,,,5.8766,,3777.1340
2025-11-03,,,,2.5907,,3779.7247
2025-11-04,,,,3.2064,,3782.9311
2025-11-05,,,,5.6233,,3788.5544
2025-11-06,,,,2.6113,,3791.1656
2025-11-07,,,,3.6542,,3794.8198
2025-11-08,,,,5.7875,,3800.6073
2025-11-09,,,,8.1113,,3808.7186
2025-11-10,,,,10.0626,,3818.7812
2025-11-11,,,,6.1197,,3824.9009
2025-11-12,,,,5.3740,,3830.2749
2025-11-13,,,,1.7375,,3832.0124
2025-11-14,,,,0.5667,,3832.5791
2025-11-15,,,,5.4677,,3838.0468
2025-11-16,,,,7.5588,,3845.6056
2025-11-17,,,,7.4827,,3853.0883
2025-11-18,,,,1.7378,,3854.8261
2025-11-19,,,,1.1531,,3855.9793
2025-11-20,,,,3.5271,,3859.5064
2025-11-21,,,,3.8696,,3863.3760
2025-11-22,,,,5.6909,,3869.0669
2025-11-23,,,,4.1721,,3873.2390
2025-11-24,,,,2.4870,,3875.7259
2025-11-25,,,,5.4734,,3881.1993
2025-11-26,,,,1.2413,,3882.4406
2025-11-27,,,,6.3400,,3888.7806
2025-11-28,,,,0.6968,,3889.4774
2025-11-29,,,,1.1651,,3890.6426
2025-11-30,,,,2.0825,,3892.7251
2025-12-01,,,,0.0620,,3892.7871
2025-12-02,,,,0.0038,,3892.7909
2025-12-03,,,,0.9485,,3893.7394
2025-12-04,,,,4.3767,,3898.1161
2025-12-05,,,,0.0573,,3898.1734
2025-12-06,,,,4.4995,,3902.6729
2025-12-07,,,,7.7416,,3910.4145
2025-12-08,,,,0.8802,,3911.2948
2025-12-09,,,,,,
2025-12-10,,,,1.6972,,3912.9919
2025-12-11,,,,0.1629,,3913.1549
2025-12-12,,,,2.7930,,3915.9479
2025-12-13,,,,6.5180,,3922.4659
2025-12-14,,,,4.6716,,3927.1374
2025-12-15,,,,3.7332,,3930.8706
2025-12-16,,,,5.6779,,3936.5485
2025-12-17,,,,0.9820,,3937.5305
2025-12-18,,,,3.7170,,3941.2476
2025-12-19,,,,5.6107,,3946.8583
2025-12-20,,,,4.4344,,3951.2927
2025-12-21,,,,4.3579,,3955.6506
2025-12-22,,,,2.0920,,3957.7426
2025-12-23,,,,0.2249,,3957.9675
2025-12-24,,,,1.3965,,3959.3640
2025-12-25,,,,2.5677,,3961.9316
2025-12-26,,,,0.6625,,3962.5942
2025-12-27,,,,0.8274,,3963.4216
2025-12-28,,,,2.6484,,3966.0700
2025-12-29,,,,0.6833,,3966.7533
2025-12-30,,,,4.7083,,3971.4616
2025-12-31,,,,0.7807,,3972.2424
2026-01-01,,,,1.2041,,3973.4465
2026-01-02,,,,2.0651,,3975.5116
2026-01-03,,,,7.3545,,3982.8662
2026-01-04,,,,4.7294,,3987.5955
2026-01-05,,,,1.3277,,3988.9232
2026-01-06,,,,1.7345,,3990.6576
2026-01-07,,,,3.1435,,3993.8011
2026-01-08,,,,1.0396,,3994.8408
2026-01-09,,,,1.4316,,3996.2723
2026-01-10,,,,5.6262,,4001.8985
2026-01-11,,,,6.0049,,4007.9034
2026-01-12,,,,3.6937,,4011.5971
2026-01-13,,,,4.1462,,4015.7433
2026-01-14,,,,2.6501,,4018.3933
2026-01-15,,,,5.6329,,4024.0262
2026-01-16,,,,5.2845,,4029.3107
2026-01-17,,,,6.2441,,4035.5548
2026-01-18,,,,8.5651,,4044.1199
2026-01-19,,,,4.2370,,4048.3570
2026-01-20,Hobbit,Bilbo,An Unexpected Journey,10.1020,10.1020,4058.4589
2026-01-21,Hobbit,Bilbo,An Unexpected Journey,8.0016,18.1036,4066.4605
2026-01-22,Hobbit,Bilbo,An Unexpected Journey,8.6340,26.7376,4075.0945
2026-01-23,Hobbit,Bilbo,An Unexpected Journey,14.4829,41.2204,4089.5774
2026-01-24,Hobbit,Bilbo,An Unexpected Journey,9.3624,50.5828,4098.9397
2026-01-25,Hobbit,Bilbo,An Unexpected Journey,10.5820,61.1648,4109.5217
2026-01-26,Hobbit,Bilbo,An Unexpected Journey,7.3589,68.5237,4116.8806
2026-01-27,Hobbit,Bilbo,An Unexpected Journey,7.0359,75.5595,4123.9165
2026-01-28,Hobbit,Bilbo,An Unexpected Journey,12.6445,88.2040,4136.5610
2026-01-29,Hobbit,Bilbo,An Unexpected Journey,12.3897,100.5937,4148.9506
2026-01-30,Hobbit,Bilbo,An Unexpected Journey,5.3612,105.9549,4154.3118
2026-01-31,Hobbit,Bilbo,An Unexpected Journey,10.3931,116.3479,4164.7049
2026-02-01,Hobbit,Bilbo,An Unexpected Journey,11.7016,128.0495,4176.4064
2026-02-02,Hobbit,Bilbo,An Unexpected Journey,7.6158,135.6653,4184.0222
2026-02-03,Hobbit,Bilbo,An Unexpected Journey,11.1538,146.8191,4195.1761
2026-02-04,Hobbit,Bilbo,An Unexpected Journey,5.5787,152.3978,4200.7548
2026-02-05,Hobbit,Bilbo,An Unexpected Journey,1.6679,154.0657,4202.4227
2026-02-06,Hobbit,Bilbo,An Unexpected Journey,3.4716,157.5374,4205.8943
2026-02-07,Hobbit,Bilbo,An Unexpected Journey,11.3614,168.8987,4217.2557
2026-02-08,Hobbit,Bilbo,An Unexpected Journey,12.2961,181.1949,4229.5518
2026-02-09,Hobbit,Bilbo,An Unexpected Journey,2.8732,184.0680,4232.4250
2026-02-10,Hobbit,Bilbo,An Unexpected Journey,5.2245,189.2926,4237.6495
2026-02-11,Hobbit,Bilbo,An Unexpected Journey,3.7147,193.0073,4241.3643
2026-02-12,Hobbit,Bilbo,An Unexpected Journey,4.3745,197.3818,4245.7388
2026-02-13,Hobbit,Bilbo,An Unexpected Journey,3.9768,201.3587,4249.7156
2026-02-14,Hobbit,Bilbo,An Unexpected Journey,9.5104,210.8690,4259.2260
2026-02-15,Hobbit,Bilbo,An Unexpected Journey,11.5736,222.4426,4270.7995
2026-02-16,Hobbit,Bilbo,An Unexpected Journey,9.8687,232.3113,4280.6683
2026-02-17,Hobbit,Bilbo,An Unexpected Journey,6.2695,238.5809,4286.9378
2026-02-18,Hobbit,Bilbo,An Unexpected Journey,11.5616,250.1424,4298.4994
2026-02-19,Hobbit,Bilbo,An Unexpected Journey,9.6110,259.7534,4308.1104
2026-02-20,Hobbit,Bilbo,An Unexpected Journey,5.8524,265.6059,4313.9628
2026-02-21,Hobbit,Bilbo,An Unexpected Journey,10.8505,276.4563,4324.8133
2026-02-22,Hobbit,Bilbo,An Unexpected Journey,11.1763,287.6327,4335.9896
2026-02-23,Hobbit,Bilbo,An Unexpected Journey,4.1746,291.8073,4340.1643
2026-02-24,Hobbit,Bilbo,An Unexpected Journey,4.2604,296.0677,4344.4246
2026-02-25,Hobbit,Bilbo,An Unexpected Journey,4.4553,300.5230,4348.8800
2026-02-26,Hobbit,Bilbo,An Unexpected Journey,5.8272,306.3502,4354.7072
2026-02-27,Hobbit,Bilbo,An Unexpected Journey,11.5486,317.8989,4366.2558
2026-02-28,Hobbit,Bilbo,An Unexpected Journey,11.6129,329.5117,4377.8687
2026-03-01,Hobbit,Bilbo,An Unexpected Journey,10.1075,339.6192,4387.9762
2026-03-02,Hobbit,Bilbo,An Unexpected Journey,6.6500,346.2692,4394.6261
2026-03-03,Hobbit,Bilbo,An Unexpected Journey,6.8104,353.0796,4401.4365
2026-03-04,Hobbit,Bilbo,An Unexpected Journey,12.1464,365.2260,4413.5829
2026-03-05,Hobbit,Bilbo,An Unexpected Journey,9.3134,374.5394,4422.8963
2026-03-06,Hobbit,Bilbo,An Unexpected Journey,2.8658,377.4051,4425.7621
2026-03-07,Hobbit,Bilbo,An Unexpected Journey,7.8423,385.2474,4433.6044
2026-03-08,Hobbit,Bilbo,An Unexpected Journey,2.6151,387.8625,4436.2194
2026-03-09,Hobbit,Bilbo,An Unexpected Journey,10.6775,398.5399,4446.8969
2026-03-10,Hobbit,Bilbo,An Unexpected Journey,11.3361,409.8760,4458.2330
2026-03-11,Hobbit,Bilbo,An Unexpected Journey,6.7522,416.6282,4464.9852
2026-03-12,Hobbit,Bilbo,An Unexpected Journey,9.2814,425.9096,4474.2665
2026-03-13,Hobbit,Bilbo,An Unexpected Journey,9.0838,434.9933,4483.3503
2026-03-14,Hobbit,Bilbo,An Unexpected Journey,10.5386,445.5319,4493.8889
2026-03-15,Hobbit,Bilbo,An Unexpected Journey,11.9774,457.5093,4505.8663
2026-03-16,Hobbit,Bilbo,An Unexpected Journey,9.0506,466.5599,4514.9168
2026-03-17,Hobbit,Bilbo,An Unexpected Journey,4.6228,471.1827,4519.5397
2026-03-18,Hobbit,Bilbo,An Unexpected Journey,3.9950,475.1777,4523.5347
2026-03-19,Hobbit,Bilbo,An Unexpected Journey,5.5065,480.6842,4529.0411
2026-03-20,Hobbit,Bilbo,An Unexpected Journey,3.1336,483.8177,4532.1747
2026-03-21,Hobbit,Bilbo,An Unexpected Journey,7.6211,491.4388,4539.7958
2026-03-22,Hobbit,Bilbo,An Unexpected Journey,12.5065,503.9453,4552.3023
2026-03-23,Hobbit,Bilbo,An Unexpected Journey,10.7182,514.6635,4563.0205
2026-03-24,Hobbit,Bilbo,An Unexpected Journey,4.9265,519.5900,4567.9470
2026-03-25,Hobbit,Bilbo,An Unexpected Journey,3.7971,523.3871,4571.7441
2026-03-26,Hobbit,Bilbo,An Unexpected Journey,8.5264,531.9135,4580.2705
2026-03-27,Hobbit,Bilbo,An Unexpected Journey,7.2756,539.1891,4587.5461
2026-03-28,Hobbit,Bilbo,An Unexpected Journey,6.0351,545.2242,4593.5812
2026-03-29,Hobbit,Bilbo,An Unexpected Journey,6.9922,552.2164,4600.5734
2026-03-30,Hobbit,Bilbo,An Unexpected Journey,13.7693,565.9858,4614.3427
2026-03-31,Hobbit,Bilbo,An Unexpected Journey,8.5147,574.5005,4622.8574
2026-04-01,Hobbit,Bilbo,An Unexpected Journey,10.8269,585.3274,4633.6844
2026-04-02,Hobbit,Bilbo,An Unexpected Journey,11.1384,596.4658,4644.8227
2026-04-03,Hobbit,Bilbo,An Unexpected Journey,4.1152,600.5809,4648.9379
2026-04-04,Hobbit,Bilbo,An Unexpected Journey,11.1377,611.7186,4660.0756
2026-04-05,Hobbit,Bilbo,An Unexpected Journey,8.5374,620.2560,4668.6130
2026-04-06,Hobbit,Bilbo,An Unexpected Journey,4.7434,624.9994,4673.3563
2026-04-07,Hobbit,Bilbo,An Unexpected Journey,11.8191,636.8185,4685.1754
2026-04-08,Hobbit,Bilbo,The Desolation of Smaug,15.8346,652.6530,4701.0100
2026-04-09,Hobbit,Bilbo,The Desolation of Smaug,9.6685,662.3215,4710.6785
2026-04-10,Hobbit,Bilbo,The Desolation of Smaug,5.2931,667.6146,4715.9716
2026-04-11,Hobbit,Bilbo,The Desolation of Smaug,9.4052,677.0198,4725.3767
2026-04-12,Hobbit,Bilbo,The Desolation of Smaug,9.3079,686.3277,4734.6846
2026-04-13,Hobbit,Bilbo,The Desolation of Smaug,11.2772,697.6048,4745.9618
2026-04-14,Hobbit,Bilbo,The Desolation of Smaug,12.5765,710.1813,4758.5383
2026-04-15,Hobbit,Bilbo,The Desolation of Smaug,7.4078,717.5891,4765.9461
2026-04-16,Hobbit,Bilbo,The Desolation of Smaug,5.5729,723.1620,4771.5190
2026-04-17,Hobbit,Bilbo,The Desolation of Smaug,4.0028,727.1648,4775.5218
2026-04-18,Hobbit,Bilbo,The Desolation of Smaug,12.2028,739.3676,4787.7245
2026-04-19,Hobbit,Bilbo,The Desolation of Smaug,13.2990,752.6665,4801.0235
2026-04-20,Hobbit,Bilbo,The Desolation of Smaug,16.4343,769.1008,4817.4578
2026-04-21,Hobbit,Bilbo,The Desolation of Smaug,10.5813,779.6821,4828.0391
2026-04-22,Hobbit,Bilbo,The Desolation of Smaug,11.1198,790.8019,4839.1589
2026-04-23,Hobbit,Bilbo,The Desolation of Smaug,11.8747,802.6766,4851.0336
2026-04-24,Hobbit,Bilbo,The Desolation of Smaug,9.0883,811.7650,4860.1219
2026-04-25,Hobbit,Bilbo,The Desolation of Smaug,10.2328,821.9977,4870.3547
2026-04-26,Hobbit,Bilbo,The Desolation of Smaug,9.4203,831.4181,4879.7750
2026-04-27,Hobbit,Bilbo,The Desolation of Smaug,11.2051,842.6232,4890.9802
2026-04-28,Hobbit,Bilbo,The Desolation of Smaug,3.7524,846.3756,4894.7326
2026-04-29,Hobbit,Bilbo,The Desolation of Smaug,7.8395,854.2152,4902.5721
2026-04-30,Hobbit,Bilbo,The Desolation of Smaug,5.0765,859.2917,4907.6487
2026-05-01,Hobbit,Bilbo,The Desolation of Smaug,5.7064,864.9982,4913.3551
2026-05-02,Hobbit,Bilbo,The Desolation of Smaug,6.3961,871.3942,4919.7512
2026-05-03,Hobbit,Bilbo,The Desolation of Smaug,9.6930,881.0872,4929.4441
2026-05-04,Hobbit,Bilbo,The Desolation of Smaug,9.0083,890.0954,4938.4524
2026-05-05,Hobbit,Bilbo,The Desolation of Smaug,5.3564,895.4518,4943.8088
2026-05-06,Hobbit,Bilbo,The Desolation of Smaug,5.7296,901.1814,4949.5384
2026-05-07,Hobbit,Bilbo,The Desolation of Smaug,10.1082,911.2896,4959.6466
2026-05-08,Hobbit,Bilbo,The Desolation of Smaug,3.7118,915.0014,4963.3584
2026-05-09,Hobbit,Bilbo,The Desolation of Smaug,9.2475,924.2489,4972.6059
2026-05-10,Hobbit,Bilbo,The Desolation of Smaug,9.5336,933.7825,4982.1395
2026-05-11,Hobbit,Bilbo,The Desolation of Smaug,6.4683,940.2509,4988.6078
2026-05-12,Hobbit,Bilbo,The Desolation of Smaug,5.3040,945.5549,4993.9118
2026-05-13,Hobbit,Bilbo,The Desolation of Smaug,3.6238,949.1787,4997.5356
2026-05-14,Hobbit,Bilbo,The Desolation of Smaug,5.9161,955.0947,5003.4517
2026-05-15,Hobbit,Bilbo,The Desolation of Smaug,5.1900,960.2848,5008.6417
2026-05-16,Hobbit,Bilbo,The Desolation of Smaug,6.8148,967.0995,5015.4565
2026-05-17,Hobbit,Bilbo,The Desolation of Smaug,7.2045,974.3041,5022.6610
2026-05-18,Hobbit,Bilbo,The Desolation of Smaug,6.2976,980.6016,5028.9586
2026-05-19,Hobbit,Bilbo,The Desolation of Smaug,4.9856,985.5872,5033.9442
2026-05-20,Hobbit,Bilbo,The Desolation of Smaug,7.1765,992.7637,5041.1207
2026-05-21,Hobbit,Bilbo,The Desolation of Smaug,2.2082,994.9719,5043.3289
2026-05-22,Hobbit,Bilbo,The Desolation of Smaug,5.9468,1000.9187,5049.2757
2026-05-23,Hobbit,Bilbo,The Desolation of Smaug,6.8170,1007.7357,5056.0927
2026-05-24,Hobbit,Bilbo,The Desolation of Smaug,6.4499,1014.1856,5062.5426
2026-05-25,Hobbit,Bilbo,The Desolation of Smaug,8.7202,1022.9059,5071.2628
2026-05-26,Hobbit,Bilbo,The Desolation of Smaug,10.0792,1032.9851,5081.3421
2026-05-27,Hobbit,Bilbo,The Desolation of Smaug,7.0256,1040.0107,5088.3677
2026-05-28,Hobbit,Bilbo,The Desolation of Smaug,6.1030,1046.1137,5094.4707
2026-05-29,Hobbit,Bilbo,The Desolation of Smaug,6.2376,1052.3514,5100.7083
2026-05-30,Hobbit,Bilbo,The Desolation of Smaug,10.6291,1062.9805,5111.3374
2026-05-31,Hobbit,Bilbo,The Desolation of Smaug,8.3931,1071.3736,5119.7306
2026-06-01,Hobbit,Bilbo,The Battle of the Five Armies,8.4416,1079.8152,5128.1721
2026-06-02,Hobbit,Bilbo,The Battle of the Five Armies,5.6695,1085.4847,5133.8416
2026-06-03,Hobbit,Bilbo,The Battle of the Five Armies,5.5980,1091.0826,5139.4396
2026-06-04,Hobbit,Bilbo,The Battle of the Five Armies,4.5668,1095.6494,5144.0064
2026-06-05,Hobbit,Bilbo,The Battle of the Five Armies,4.4537,1100.1031,5148.4601
2026-06-06,Hobbit,Bilbo,The Battle of the Five Armies,7.8551,1107.9582,5156.3152
2026-06-07,Hobbit,Bilbo,The Battle of the Five Armies,9.6862,1117.6444,5166.0014
2026-06-08,Hobbit,Bilbo,The Battle of the Five Armies,10.5191,1128.1635,5176.5205
2026-06-09,Hobbit,Bilbo,The Battle of the Five Armies,7.1863,1135.3499,5183.7068
2026-06-10,Hobbit,Bilbo,The Battle of the Five Armies,12.7429,1148.0928,5196.4498
